[2025-09-17 00:51:21,279] 16 root - INFO - Initiate the data ingestion
[2025-09-17 00:51:29,077] 59 root - INFO - Performed train test split on the dataframe
[2025-09-17 00:51:29,077] 60 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-09-17 00:51:29,078] 67 root - INFO - Exporting train & test file path
[2025-09-17 00:51:29,134] 72 root - INFO - Exported train and test file path
[2025-09-17 00:51:29,134] 18 root - INFO - Data Initiation Completed
[2025-09-17 00:51:29,140] 22 root - INFO - Initiate the data validation
[2025-09-17 00:51:29,216] 32 root - INFO - Requires no of columns:2
[2025-09-17 00:51:29,217] 33 root - INFO - Data frame has columns:31
[2025-09-17 00:51:29,217] 32 root - INFO - Requires no of columns:2
[2025-09-17 00:51:29,217] 33 root - INFO - Data frame has columns:31
[2025-09-17 00:51:29,350] 24 root - INFO - Data Validation Completed
[2025-09-17 00:51:29,351] 27 root - INFO - Data Transformatiom Started
[2025-09-17 00:51:29,351] 52 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-09-17 00:51:29,351] 54 root - INFO - Starting data transformation
[2025-09-17 00:51:29,374] 38 root - INFO - Entered get_data_trnsformer_object method of Trnsformation class
[2025-09-17 00:51:29,374] 43 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-09-17 00:51:29,384] 41 root - INFO - Entered the save_object method of MainUtils class
[2025-09-17 00:51:29,391] 45 root - INFO - Exited the save_object method of MainUtils class
[2025-09-17 00:51:29,392] 31 root - INFO - Data Validation Completed
