[2025-09-17 00:55:45,229] 17 root - INFO - Initiate the data ingestion
[2025-09-17 00:55:53,273] 59 root - INFO - Performed train test split on the dataframe
[2025-09-17 00:55:53,273] 60 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-09-17 00:55:53,274] 67 root - INFO - Exporting train & test file path
[2025-09-17 00:55:53,329] 72 root - INFO - Exported train and test file path
[2025-09-17 00:55:53,329] 19 root - INFO - Data Initiation Completed
[2025-09-17 00:55:53,334] 23 root - INFO - Initiate the data validation
[2025-09-17 00:55:53,412] 32 root - INFO - Requires no of columns:2
[2025-09-17 00:55:53,414] 33 root - INFO - Data frame has columns:31
[2025-09-17 00:55:53,415] 32 root - INFO - Requires no of columns:2
[2025-09-17 00:55:53,415] 33 root - INFO - Data frame has columns:31
[2025-09-17 00:55:53,552] 25 root - INFO - Data Validation Completed
[2025-09-17 00:55:53,553] 28 root - INFO - Data Transformatiom Started
[2025-09-17 00:55:53,553] 52 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-09-17 00:55:53,553] 54 root - INFO - Starting data transformation
[2025-09-17 00:55:53,571] 38 root - INFO - Entered get_data_trnsformer_object method of Trnsformation class
[2025-09-17 00:55:53,571] 43 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-09-17 00:55:53,585] 41 root - INFO - Entered the save_object method of MainUtils class
[2025-09-17 00:55:53,589] 45 root - INFO - Exited the save_object method of MainUtils class
[2025-09-17 00:55:53,590] 32 root - INFO - Data Transformation Completed
[2025-09-17 00:55:53,590] 34 root - INFO - Model Training started
[2025-09-17 01:14:42,648] 41 root - INFO - Entered the save_object method of MainUtils class
[2025-09-17 01:14:42,673] 45 root - INFO - Exited the save_object method of MainUtils class
